N° du client,Statut du client,Âge du client,Genre du client,Nb de personnes à charge,Niveau de diplôme,Statut marital,Catégorie du revenu annuel,Type de carte,Durée d'engagement en mois,Nb de mois inactif,Nb d'interactions,Montant crédit renouvellé,Nb de transactions,Utilisation moyenne de la carte,risque_inactivite,risque_interactions,risque_credit,risque_transactions,risque_utilisation,score_risque,niveau_risque
768805383,Client actuel,45,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,39,1,3,777,42,0.061,0,0,0,1,1,2,Modéré
818770008,Client actuel,49,F,5,Licence,Célibataire,Moins de $40K,Blue,44,1,2,864,33,0.105,0,0,0,1,1,2,Modéré
713982108,Client actuel,51,M,3,Licence,Marié(e),$80K - $120K,Blue,36,1,0,0,20,0.0,0,0,1,1,1,3,Modéré
769911858,Client actuel,40,F,4,Lycée (équivalent baccalauréat),Non connu,Moins de $40K,Blue,34,4,1,2517,20,0.76,1,0,0,1,0,2,Modéré
709106358,Client actuel,40,M,3,Sans diplôme,Marié(e),$60K - $80K,Blue,21,1,0,0,28,0.0,0,0,1,1,1,3,Modéré
713061558,Client actuel,44,M,2,Licence,Marié(e),$40K - $60K,Blue,36,1,2,1247,24,0.311,0,0,0,1,0,1,Faible
810347208,Client actuel,51,M,4,Non connu,Marié(e),$120K +,Gold,46,1,3,2264,31,0.066,0,0,0,1,1,2,Modéré
818906208,Client actuel,32,M,0,Lycée (équivalent baccalauréat),Non connu,$60K - $80K,Silver,27,2,2,1396,36,0.048,0,0,0,1,1,2,Modéré
710930508,Client actuel,37,M,3,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,0,2517,24,0.113,0,0,0,1,1,2,Modéré
719661558,Client actuel,48,M,2,Licence,Célibataire,$80K - $120K,Blue,36,3,3,1677,32,0.144,0,0,0,1,1,2,Modéré
708790833,Client actuel,42,M,5,Sans diplôme,Non connu,$120K +,Blue,31,3,2,1467,42,0.217,0,0,0,1,0,1,Faible
710821833,Client actuel,65,M,1,Non connu,Marié(e),$40K - $60K,Blue,54,2,3,1587,26,0.174,0,0,0,1,0,1,Faible
710599683,Client actuel,56,M,1,Niveau Bac+2,Célibataire,$80K - $120K,Blue,36,6,0,0,17,0.0,1,0,1,1,1,4,Élevé
816082233,Client actuel,35,M,3,Licence,Non connu,$60K - $80K,Blue,30,1,3,1666,33,0.195,0,0,0,1,0,1,Faible
712396908,Client actuel,57,F,2,Licence,Marié(e),Moins de $40K,Blue,48,2,2,680,29,0.279,0,0,0,1,0,1,Faible
714885258,Client actuel,44,M,4,Non connu,Non connu,$80K - $120K,Blue,37,1,2,972,27,0.23,0,0,0,1,0,1,Faible
709967358,Client actuel,48,M,4,Master,Marié(e),$80K - $120K,Blue,36,2,3,2362,27,0.078,0,0,0,1,1,2,Modéré
753327333,Client actuel,41,M,3,Non connu,Célibataire,$80K - $120K,Blue,34,4,1,1291,21,0.095,1,0,0,1,1,3,Modéré
806160108,Client actuel,61,M,1,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,56,2,3,2517,30,0.788,0,0,0,1,0,1,Faible
709327383,Client actuel,45,F,2,Licence,Marié(e),Non connu,Blue,37,1,2,1157,21,0.08,0,0,0,1,1,2,Modéré
806165208,Client actuel,47,M,1,Doctorat,Divorcé(e),$60K - $80K,Blue,42,2,0,1800,27,0.086,0,0,0,1,1,2,Modéré
784725333,Client actuel,41,M,3,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,33,2,1,680,18,0.152,0,0,0,1,1,2,Modéré
811604133,Client actuel,47,F,4,Non connu,Célibataire,Moins de $40K,Blue,36,3,2,1560,23,0.626,0,0,0,1,0,1,Faible
789124683,Client actuel,54,M,2,Non connu,Célibataire,$80K - $120K,Blue,42,2,3,0,21,0.0,0,0,1,1,1,3,Modéré
771071958,Client actuel,41,F,3,Licence,Célibataire,Moins de $40K,Blue,28,1,2,1669,22,0.215,0,0,0,1,0,1,Faible
720466383,Client actuel,59,M,1,Lycée (équivalent baccalauréat),Non connu,$40K - $60K,Blue,46,1,2,1374,23,0.093,0,0,0,1,1,2,Modéré
804424383,Client actuel,63,M,1,Non connu,Célibataire,$60K - $80K,Blue,56,3,2,1010,40,0.099,0,0,0,1,1,2,Modéré
718813833,Client actuel,44,F,3,Sans diplôme,Célibataire,Non connu,Blue,34,2,2,0,18,0.0,0,0,1,1,1,3,Modéré
806624208,Client actuel,47,M,4,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,42,0,0,1362,38,0.285,0,0,0,1,0,1,Faible
778348233,Client actuel,53,M,3,Non connu,Célibataire,$80K - $120K,Blue,33,2,3,1811,25,0.658,0,0,0,1,0,1,Faible
712991808,Client actuel,53,M,2,Sans diplôme,Célibataire,$60K - $80K,Blue,48,5,1,1690,26,0.69,1,0,0,1,0,2,Modéré
709029408,Client actuel,41,M,4,Licence,Marié(e),$60K - $80K,Blue,36,1,2,2517,24,0.282,0,0,0,1,0,1,Faible
788658483,Client actuel,53,F,2,Niveau Bac+2,Marié(e),Moins de $40K,Blue,38,2,3,1490,28,0.562,0,0,0,1,0,1,Faible
787937058,Client actuel,58,M,0,Licence,Célibataire,$80K - $120K,Blue,49,2,2,1696,24,0.135,0,0,0,1,1,2,Modéré
715318008,Client actuel,55,F,1,Niveau Bac+2,Célibataire,Moins de $40K,Blue,36,2,1,1914,43,0.544,0,0,0,1,0,1,Faible
713962233,Client actuel,55,F,3,Licence,Marié(e),Moins de $40K,Blue,36,2,3,2298,37,0.757,0,0,0,1,0,1,Faible
785432733,Client actuel,42,F,4,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Gold,36,3,3,0,22,0.0,0,0,1,1,1,3,Modéré
715190283,Client actuel,57,F,1,Licence,Non connu,$40K - $60K,Blue,49,3,2,886,28,0.241,0,0,0,1,0,1,Faible
827111283,Client actuel,45,M,3,Licence,Célibataire,$80K - $120K,Blue,41,2,2,578,28,0.018,0,0,1,1,1,3,Modéré
758551608,Client actuel,51,M,2,Non connu,Marié(e),$40K - $60K,Blue,44,1,0,2204,28,0.355,0,0,0,1,0,1,Faible
773146383,Client actuel,50,F,1,Niveau Bac+2,Célibataire,$40K - $60K,Silver,43,2,3,2517,33,0.145,0,0,0,1,1,2,Modéré
778493808,Client actuel,49,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,37,2,1,0,32,0.0,0,0,1,1,1,3,Modéré
720572508,Client actuel,38,F,4,Licence,Célibataire,Non connu,Blue,28,3,3,2055,23,0.209,0,0,0,1,0,1,Faible
712661433,Client actuel,49,M,4,Sans diplôme,Célibataire,$80K - $120K,Blue,30,2,3,0,28,0.0,0,0,1,1,1,3,Modéré
789172683,Client actuel,56,M,2,Doctorat,Célibataire,$60K - $80K,Blue,45,2,0,1430,27,0.626,0,0,0,1,0,1,Faible
738406533,Client actuel,59,M,1,Doctorat,Marié(e),$40K - $60K,Blue,52,2,2,2020,27,0.793,0,0,0,1,0,1,Faible
