N° du client,Statut du client,Âge du client,Genre du client,Nb de personnes à charge,Niveau de diplôme,Statut marital,Catégorie du revenu annuel,Type de carte,Durée d'engagement en mois,Nb de mois inactif,Nb d'interactions,Montant crédit renouvellé,Nb de transactions,Utilisation moyenne de la carte
768805383,Client actuel,45,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,39,1,3,777,42,0.061
818770008,Client actuel,49,F,5,Licence,Célibataire,Moins de $40K,Blue,44,1,2,864,33,0.105
713982108,Client actuel,51,M,3,Licence,Marié(e),$80K - $120K,Blue,36,1,0,0,20,0.0
769911858,Client actuel,40,F,4,Lycée (équivalent baccalauréat),Non connu,Moins de $40K,Blue,34,4,1,2517,20,0.76
709106358,Client actuel,40,M,3,Sans diplôme,Marié(e),$60K - $80K,Blue,21,1,0,0,28,0.0
713061558,Client actuel,44,M,2,Licence,Marié(e),$40K - $60K,Blue,36,1,2,1247,24,0.311
810347208,Client actuel,51,M,4,Non connu,Marié(e),$120K +,Gold,46,1,3,2264,31,0.066
818906208,Client actuel,32,M,0,Lycée (équivalent baccalauréat),Non connu,$60K - $80K,Silver,27,2,2,1396,36,0.048
710930508,Client actuel,37,M,3,Sans diplôme,Célibataire,$60K - $80K,Blue,36,2,0,2517,24,0.113
719661558,Client actuel,48,M,2,Licence,Célibataire,$80K - $120K,Blue,36,3,3,1677,32,0.144
708790833,Client actuel,42,M,5,Sans diplôme,Non connu,$120K +,Blue,31,3,2,1467,42,0.217
710821833,Client actuel,65,M,1,Non connu,Marié(e),$40K - $60K,Blue,54,2,3,1587,26,0.174
710599683,Client actuel,56,M,1,Niveau Bac+2,Célibataire,$80K - $120K,Blue,36,6,0,0,17,0.0
816082233,Client actuel,35,M,3,Licence,Non connu,$60K - $80K,Blue,30,1,3,1666,33,0.195
712396908,Client actuel,57,F,2,Licence,Marié(e),Moins de $40K,Blue,48,2,2,680,29,0.279
714885258,Client actuel,44,M,4,Non connu,Non connu,$80K - $120K,Blue,37,1,2,972,27,0.23
709967358,Client actuel,48,M,4,Master,Marié(e),$80K - $120K,Blue,36,2,3,2362,27,0.078
753327333,Client actuel,41,M,3,Non connu,Célibataire,$80K - $120K,Blue,34,4,1,1291,21,0.095
806160108,Client actuel,61,M,1,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,56,2,3,2517,30,0.788
709327383,Client actuel,45,F,2,Licence,Marié(e),Non connu,Blue,37,1,2,1157,21,0.08
